p = 0.001	0.11	0.35	0.61	1.05	0.57	0.99	0.08	0.24	0.74	1.38	2.48	3.4	1.61	2.59	0.39	0.81	
p = 0.002	0.38	0.76	1.0	1.58	1.47	2.27	0.34	0.6	1.29	2.33	3.49	4.89	2.91	4.23	0.85	1.51	
p = 0.003	0.87	1.45	1.73	2.51	1.56	2.38	0.27	0.59	2.04	3.26	5.09	6.87	4.39	6.35	1.1	1.72	
p = 0.004	0.72	1.34	2.42	3.34	1.89	2.87	0.71	1.17	2.83	4.43	5.83	7.43	5.29	7.53	1.37	2.23	
p = 0.005	1.07	1.81	2.33	3.21	2.62	3.92	0.47	0.83	2.78	4.36	6.63	8.53	5.94	8.58	1.81	2.91	
p = 0.006	1.06	1.74	3.55	4.63	2.74	3.98	0.6	1.14	3.22	5.16	7.4	9.48	6.73	9.23	1.99	3.19	
p = 0.007	1.39	2.35	3.61	4.73	2.74	4.0	0.89	1.41	2.55	4.51	7.91	10.21	7.48	10.8	2.32	3.52	
p = 0.008	1.35	2.25	3.54	4.6	3.51	5.15	1.2	1.92	4.05	6.39	8.87	11.09	8.94	11.9	2.85	4.29	
p = 0.009	1.41	2.49	4.08	5.24	3.92	5.48	1.06	1.74	4.34	6.7	9.95	12.53	10.16	13.4	2.79	4.19	
p = 0.01	1.9	2.9	4.01	5.17	3.92	5.46	1.32	1.98	3.32	5.56	9.8	12.14	7.96	11.12	3.23	4.65	
