p = 0.001	0.23	0.83	0.78	0.16	1.06	2.94	2.1	0.6	
p = 0.002	0.57	1.29	1.87	0.47	1.81	4.19	3.57	1.18	
p = 0.003	1.16	2.12	1.97	0.43	2.65	5.98	5.37	1.41	
p = 0.004	1.03	2.88	2.38	0.94	3.63	6.63	6.41	1.8	
p = 0.005	1.44	2.77	3.27	0.65	3.57	7.58	7.26	2.36	
p = 0.006	1.4	4.09	3.36	0.87	4.19	8.44	7.98	2.59	
p = 0.007	1.87	4.17	3.37	1.15	3.53	9.06	9.14	2.92	
p = 0.008	1.8	4.07	4.33	1.56	5.22	9.98	10.42	3.57	
p = 0.009	1.95	4.66	4.7	1.4	5.52	11.24	11.78	3.49	
p = 0.01	2.4	4.59	4.69	1.65	4.44	10.97	9.54	3.94	
