p = 0.001	0.13	0.43	0.58	0.96	0.55	0.99	0.13	0.31	0.7	1.26	2.08	3.0	2.24	3.22	0.47	0.89	
p = 0.002	0.42	0.8	1.26	1.88	0.84	1.36	0.18	0.42	1.2	2.1	3.46	4.64	3.7	5.46	0.74	1.44	
p = 0.003	0.53	0.97	1.77	2.47	1.65	2.45	0.35	0.67	2.09	3.43	4.84	6.36	4.67	6.75	1.01	1.73	
p = 0.004	0.66	1.26	2.33	3.21	1.64	2.6	0.44	0.82	2.62	4.28	5.17	6.75	6.16	8.6	1.53	2.41	
p = 0.005	0.88	1.5	2.68	3.66	2.45	3.41	0.65	1.09	2.43	4.09	7.27	9.17	6.49	8.91	1.76	2.72	
p = 0.006	1.4	2.14	3.0	4.0	3.15	4.27	0.81	1.39	2.9	4.8	7.4	9.32	7.15	9.71	2.61	3.89	
p = 0.007	1.33	2.29	4.12	5.28	3.4	4.9	0.97	1.55	1.95	3.57	8.2	10.5	7.23	10.25	2.42	3.76	
p = 0.008	1.61	2.67	3.71	4.73	4.18	5.66	1.13	1.75	3.43	5.53	8.37	10.37	8.37	11.65	2.7	4.18	
p = 0.009	1.66	2.6	4.28	5.58	3.81	5.33	1.24	1.82	4.83	7.39	9.0	11.56	9.6	12.78	2.74	4.18	
p = 0.01	1.74	2.64	4.46	5.6	4.12	5.92	1.28	1.88	4.76	7.54	8.87	11.21	8.75	12.05	3.35	5.03	
