p = 0.001	0.28	0.77	0.77	0.22	0.98	2.54	2.73	0.68	
p = 0.002	0.61	1.57	1.1	0.3	1.65	4.05	4.58	1.09	
p = 0.003	0.75	2.12	2.05	0.51	2.76	5.6	5.71	1.37	
p = 0.004	0.96	2.77	2.12	0.63	3.45	5.96	7.38	1.97	
p = 0.005	1.19	3.17	2.93	0.87	3.26	8.22	7.7	2.24	
p = 0.006	1.77	3.5	3.71	1.1	3.85	8.36	8.43	3.25	
p = 0.007	1.81	4.7	4.15	1.26	2.76	9.35	8.74	3.09	
p = 0.008	2.14	4.22	4.92	1.44	4.48	9.37	10.01	3.44	
p = 0.009	2.13	4.93	4.57	1.53	6.11	10.28	11.19	3.46	
p = 0.01	2.19	5.03	5.02	1.58	6.15	10.04	10.4	4.19	
